Instructions: Enter the total number of normal and abnormal axons you count for each genotype. Each group should put numbers in just one row.,,,,,,,,,
,Student,juIs76,juIs76,juIs76; unc-5,juIs76; unc-5,juIs76; unc-6,juIs76; unc-6,juIs76; unc-40,juIs76; unc-40
Lab section,initials,Normal DD/VD,Abnormal DD/VD,Normal DD/VD,Abnormal DD/VD,Normal DD/VD,Abnormal DD/VD,Normal DD/VD,Abnormal DD/VD
101,"IT, EK, MP",25,0,6,19,11,14,15,10
101,"PS, JG, TN, MP",49,1,1,49,4,11,14,16
101,"TP, MP, EC",50,0,0,50,5,23,27,16
101,"PR, NY, BC, AT",49,1,0,50,3,47,30,20
101,"RW, MT, CC",50,0,3,1,10,17,46,4
101,"RR, JO, NA, CC",49,1,0,50,12,3,39,11
101,,,,,,,,,
101,,,,,,,,,
102,"AH,BR,EN",50,0,2,21,14,36,41,9
102,"EG, CH, RM",95,1,2,67,8,51,40,22
102,JAAS,50,0,0,50,7,43,34,16
102,"SM, SS, MH, CJ",50,0,0,50,12,38,39,12
102,"MD, SG, AG",50,0,0,50,2,52,43,20
102,"SP, NN, DR, RH",51,0,0,56,8,42,29,23
102,"EF, AL, JR, CL, AN",68,6,0,50,13,44,34,14
102,,,,,,,,,
